2025-10-29T11:14:23+01:00	feed_success_count	admin	1	supplier_catalog_feed products=0
2025-10-30T10:47:37+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-30T10:47:54+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-30T15:05:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:05:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:05:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:05:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:06:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:06:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:06:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:06:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:07:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:07:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:07:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:07:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:08:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:08:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:08:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:08:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:09:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:09:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:09:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:09:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:10:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:10:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:10:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:10:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:11:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:11:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:11:37+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:11:52+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:12:07+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:12:22+01:00	pos_products	role=admin	ordered_only=0	count=0
2025-10-30T15:12:37+01:00	pos_products	role=admin	ordered_only=0	count=0
{"ts":"2025-10-30T15:31:03+01:00","role":"supplier","message":"Mirrored supplier add -> inventory","context":{"supplier_id":1,"catalog_id":225,"inventory_id":41,"sku":"HW-TIL-001"}}
2025-10-30T15:31:48+01:00	pos_products	role=admin	ordered_only=0	count=1
2025-10-30T15:38:54+01:00	pos_products	role=admin	ordered_only=0	count=1
{"ts":"2025-10-30T15:44:46+01:00","role":"supplier","message":"Mirrored supplier add -> inventory","context":{"supplier_id":1,"catalog_id":226,"inventory_id":42,"sku":"HW-TIL-001"}}
